# 127.0.0.1 display.ad.daum.net
# 127.0.0.1 analytics.ad.daum.net
127.0.0.1 p1-play.edge4k.com
127.0.0.1 p2-play.edge4k.com
127.0.0.1 p1-play.kgslb.com
127.0.0.1 kyson.ad.daum.net
127.0.0.1 ad.nbms.naver.com
127.0.0.1 ad.news.naver.com
127.0.0.1 ad.nmv.naver.com
127.0.0.1 adc.naver.com
127.0.0.1 adcreative.naver.com
127.0.0.1 ams.rmcnmv.naver.com
127.0.0.1 bb.ad.naver.com
127.0.0.1 castbox.shopping.naver.com
127.0.0.1 cpv.ad.naver.com
127.0.0.1 creative.nbms.naver.com
127.0.0.1 damoive.dn.naver.com
127.0.0.1 ia.www.naver.com
127.0.0.1 l.m.naver.com
127.0.0.1 nv.ad.naver.com
127.0.0.1 nv.veta.naver.com
127.0.0.1 nv1.ad.naver.com
127.0.0.1 nv1.veta.naver.com
127.0.0.1 nv2.ad.naver.com
127.0.0.1 nv2.veta.naver.com
127.0.0.1 nv3.ad.naver.com
127.0.0.1 nv4.ad.naver.com
127.0.0.1 saedu.naver.com
127.0.0.1 searchad.naver.com
127.0.0.1 syndication.openapi.naver.com
127.0.0.1 veta.naver.com
127.0.0.1 videost.nmv.naver.com
127.0.0.1 vts.rmcnmv.naver.com
127.0.0.1 wrd.naver.com
127.0.0.1 a.ads1.msn.com
127.0.0.1 a.ads2.msads.net
127.0.0.1 a.ads2.msn.com
127.0.0.1 a.rad.msn.com
127.0.0.1 ac3.msn.com
127.0.0.1 activity.windows.com
127.0.0.1 adnexus.net
127.0.0.1 adnxs.com
127.0.0.1 adl.windows.com
127.0.0.1 ads.msn.com
127.0.0.1 ads1.msads.net
127.0.0.1 ads1.msn.com
127.0.0.1 aidps.atdmt.com
127.0.0.1 aka-cdn-ns.adtech.de
127.0.0.1 alpha.telemetry.microsoft.com
127.0.0.1 apac1.notify.windows.com.akadns.net
127.0.0.1 api.cortana.ai
127.0.0.1 asimov-win.settings.data.microsoft.com.akadns.net
127.0.0.1 b.ads1.msn.com
127.0.0.1 b.ads2.msads.net
127.0.0.1 b.rad.msn.com
127.0.0.1 bingads.microsoft.com
127.0.0.1 bl3301-a.1drv.com
127.0.0.1 bl3301-c.1drv.com
127.0.0.1 bl3301-g.1drv.com
127.0.0.1 bn2b-cor001.api.p001.1drv.com
127.0.0.1 bn2b-cor002.api.p001.1drv.com
127.0.0.1 bn2b-cor003.api.p001.1drv.com
127.0.0.1 bn2b-cor004.api.p001.1drv.com
127.0.0.1 bn2wns1.wns.windows.com
127.0.0.1 bn3p-cor001.api.p001.1drv.com
127.0.0.1 bn3sch020010558.wns.windows.com
127.0.0.1 bn3sch020010560.wns.windows.com
127.0.0.1 bn3sch020010618.wns.windows.com
127.0.0.1 bn3sch020010629.wns.windows.com
127.0.0.1 bn3sch020010631.wns.windows.com
127.0.0.1 bn3sch020010635.wns.windows.com
127.0.0.1 bn3sch020010636.wns.windows.com
127.0.0.1 bn3sch020010650.wns.windows.com
127.0.0.1 bn3sch020011727.wns.windows.com
127.0.0.1 bn3sch020012850.wns.windows.com
127.0.0.1 bn3sch020020322.wns.windows.com
127.0.0.1 bn3sch020020749.wns.windows.com
127.0.0.1 bn3sch020022328.wns.windows.com
127.0.0.1 bn3sch020022335.wns.windows.com
127.0.0.1 bn3sch020022361.wns.windows.com
127.0.0.1 bn4sch101120814.wns.windows.com
127.0.0.1 bn4sch101120818.wns.windows.com
127.0.0.1 bn4sch101120911.wns.windows.com
127.0.0.1 bn4sch101120913.wns.windows.com
127.0.0.1 bn4sch101121019.wns.windows.com
127.0.0.1 bn4sch101121109.wns.windows.com
127.0.0.1 bn4sch101121118.wns.windows.com
127.0.0.1 bn4sch101121223.wns.windows.com
127.0.0.1 bn4sch101121407.wns.windows.com
127.0.0.1 bn4sch101121618.wns.windows.com
127.0.0.1 bn4sch101121704.wns.windows.com
127.0.0.1 bn4sch101121709.wns.windows.com
127.0.0.1 bn4sch101121714.wns.windows.com
127.0.0.1 bn4sch101121908.wns.windows.com
127.0.0.1 bn4sch101122117.wns.windows.com
127.0.0.1 bn4sch101122310.wns.windows.com
127.0.0.1 bn4sch101122312.wns.windows.com
127.0.0.1 bn4sch101122421.wns.windows.com
127.0.0.1 bn4sch101123108.wns.windows.com
127.0.0.1 bn4sch101123110.wns.windows.com
127.0.0.1 bn4sch101123202.wns.windows.com
127.0.0.1 bn4sch102110124.wns.windows.com
127.0.0.1 browser.events.data.microsoft.com
127.0.0.1 browser.pipe.aria.microsoft.com
127.0.0.1 bs.serving-sys.com
127.0.0.1 by3301-a.1drv.com
127.0.0.1 by3301-c.1drv.com
127.0.0.1 by3301-e.1drv.com
127.0.0.1 c.atdmt.com
127.0.0.1 c.msn.com
127.0.0.1 cache.datamart.windows.com
127.0.0.1 cdn.atdmt.com
127.0.0.1 cds10.stn.llnw.net
127.0.0.1 cds1203.lon.llnw.net
127.0.0.1 cds1204.lon.llnw.net
127.0.0.1 cds1209.lon.llnw.net
127.0.0.1 cds1219.lon.llnw.net
127.0.0.1 cds1228.lon.llnw.net
127.0.0.1 cds1244.lon.llnw.net
127.0.0.1 cds1257.lon.llnw.net
127.0.0.1 cds1265.lon.llnw.net
127.0.0.1 cds1269.lon.llnw.net
127.0.0.1 cds1273.lon.llnw.net
127.0.0.1 cds1285.lon.llnw.net
127.0.0.1 cds1287.lon.llnw.net
127.0.0.1 cds1289.lon.llnw.net
127.0.0.1 cds1293.lon.llnw.net
127.0.0.1 cds1307.lon.llnw.net
127.0.0.1 cds1310.lon.llnw.net
127.0.0.1 cds1325.lon.llnw.net
127.0.0.1 cds1327.lon.llnw.net
127.0.0.1 cds177.dus.llnw.net
127.0.0.1 cds20005.stn.llnw.net
127.0.0.1 cds20404.lcy.llnw.net
127.0.0.1 cds20411.lcy.llnw.net
127.0.0.1 cds20415.lcy.llnw.net
127.0.0.1 cds20416.lcy.llnw.net
127.0.0.1 cds20417.lcy.llnw.net
127.0.0.1 cds20424.lcy.llnw.net
127.0.0.1 cds20425.lcy.llnw.net
127.0.0.1 cds20431.lcy.llnw.net
127.0.0.1 cds20435.lcy.llnw.net
127.0.0.1 cds20440.lcy.llnw.net
127.0.0.1 cds20443.lcy.llnw.net
127.0.0.1 cds20445.lcy.llnw.net
127.0.0.1 cds20450.lcy.llnw.net
127.0.0.1 cds20452.lcy.llnw.net
127.0.0.1 cds20457.lcy.llnw.net
127.0.0.1 cds20461.lcy.llnw.net
127.0.0.1 cds20469.lcy.llnw.net
127.0.0.1 cds20475.lcy.llnw.net
127.0.0.1 cds20482.lcy.llnw.net
127.0.0.1 cds20485.lcy.llnw.net
127.0.0.1 cds20495.lcy.llnw.net
127.0.0.1 cds21205.lon.llnw.net
127.0.0.1 cds21207.lon.llnw.net
127.0.0.1 cds21225.lon.llnw.net
127.0.0.1 cds21229.lon.llnw.net
127.0.0.1 cds21233.lon.llnw.net
127.0.0.1 cds21238.lon.llnw.net
127.0.0.1 cds21244.lon.llnw.net
127.0.0.1 cds21249.lon.llnw.net
127.0.0.1 cds21256.lon.llnw.net
127.0.0.1 cds21257.lon.llnw.net
127.0.0.1 cds21258.lon.llnw.net
127.0.0.1 cds21261.lon.llnw.net
127.0.0.1 cds21267.lon.llnw.net
127.0.0.1 cds21278.lon.llnw.net
127.0.0.1 cds21281.lon.llnw.net
127.0.0.1 cds21293.lon.llnw.net
127.0.0.1 cds21309.lon.llnw.net
127.0.0.1 cds21313.lon.llnw.net
127.0.0.1 cds21321.lon.llnw.net
127.0.0.1 cds299.lcy.llnw.net
127.0.0.1 cds308.lcy.llnw.net
127.0.0.1 cds30027.stn.llnw.net
127.0.0.1 cds310.lcy.llnw.net
127.0.0.1 cds38.ory.llnw.net
127.0.0.1 cds54.ory.llnw.net
127.0.0.1 cds405.lcy.llnw.net
127.0.0.1 cds406.lcy.llnw.net
127.0.0.1 cds407.fra.llnw.net
127.0.0.1 cds416.lcy.llnw.net
127.0.0.1 cds421.lcy.llnw.net
127.0.0.1 cds422.lcy.llnw.net
127.0.0.1 cds425.lcy.llnw.net
127.0.0.1 cds426.lcy.llnw.net
127.0.0.1 cds447.lcy.llnw.net
127.0.0.1 cds458.lcy.llnw.net
127.0.0.1 cds459.lcy.llnw.net
127.0.0.1 cds461.lcy.llnw.net
127.0.0.1 cds468.lcy.llnw.net
127.0.0.1 cds469.lcy.llnw.net
127.0.0.1 cds471.lcy.llnw.net
127.0.0.1 cds483.lcy.llnw.net
127.0.0.1 cds484.lcy.llnw.net
127.0.0.1 cds489.lcy.llnw.net
127.0.0.1 cds493.lcy.llnw.net
127.0.0.1 cds494.lcy.llnw.net
127.0.0.1 cds812.lon.llnw.net
127.0.0.1 cds815.lon.llnw.net
127.0.0.1 cds818.lon.llnw.net
127.0.0.1 cds832.lon.llnw.net
127.0.0.1 cds836.lon.llnw.net
127.0.0.1 cds840.lon.llnw.net
127.0.0.1 cds843.lon.llnw.net
127.0.0.1 cds857.lon.llnw.net
127.0.0.1 cds868.lon.llnw.net
127.0.0.1 cds869.lon.llnw.net
127.0.0.1 ch1-cor001.api.p001.1drv.com
127.0.0.1 ch1-cor002.api.p001.1drv.com
127.0.0.1 ch3301-c.1drv.com
127.0.0.1 ch3301-e.1drv.com
127.0.0.1 ch3301-g.1drv.com
127.0.0.1 ch3302-c.1drv.com
127.0.0.1 ch3302-e.1drv.com
127.0.0.1 compatexchange1.trafficmanager.net
127.0.0.1 continuum.dds.microsoft.com
127.0.0.1 corp.sts.microsoft.com
127.0.0.1 corpext.msitadfs.glbdns2.microsoft.com
127.0.0.1 cs1.wpc.v0cdn.net
127.0.0.1 cy2.vortex.data.microsoft.com.akadns.net
127.0.0.1 db5.settings.data.microsoft.com.akadns.net
127.0.0.1 db5.settings-win.data.microsoft.com.akadns.net
127.0.0.1 db5.vortex.data.microsoft.com.akadns.net
127.0.0.1 db5-eap.settings-win.data.microsoft.com.akadns.net
127.0.0.1 df.telemetry.microsoft.com
127.0.0.1 diagnostics.support.microsoft.com
127.0.0.1 ec.atdmt.com
127.0.0.1 eu.vortex.data.microsoft.com
127.0.0.1 eu.vortex-win.data.microsoft.com
127.0.0.1 eu-v10.events.data.microsoft.com
127.0.0.1 eu-v20.events.data.microsoft.com
127.0.0.1 events.data.microsoft.com
127.0.0.1 flex.msn.com
127.0.0.1 g.msn.com
127.0.0.1 geo.settings.data.microsoft.com.akadns.net
127.0.0.1 geo.settings-win.data.microsoft.com.akadns.net
127.0.0.1 geo.vortex.data.microsoft.com.akadns.net
127.0.0.1 h1.msn.com
127.0.0.1 h2.msn.com
127.0.0.1 hk2.settings.data.microsoft.com.akadns.net
127.0.0.1 hk2.wns.windows.com
127.0.0.1 hk2sch130020721.wns.windows.com
127.0.0.1 hk2sch130020723.wns.windows.com
127.0.0.1 hk2sch130020726.wns.windows.com
127.0.0.1 hk2sch130020729.wns.windows.com
127.0.0.1 hk2sch130020732.wns.windows.com
127.0.0.1 hk2sch130020824.wns.windows.com
127.0.0.1 hk2sch130020843.wns.windows.com
127.0.0.1 hk2sch130020851.wns.windows.com
127.0.0.1 hk2sch130020854.wns.windows.com
127.0.0.1 hk2sch130020855.wns.windows.com
127.0.0.1 hk2sch130020924.wns.windows.com
127.0.0.1 hk2sch130020936.wns.windows.com
127.0.0.1 hk2sch130020940.wns.windows.com
127.0.0.1 hk2sch130020956.wns.windows.com
127.0.0.1 hk2sch130020958.wns.windows.com
127.0.0.1 hk2sch130020961.wns.windows.com
127.0.0.1 hk2sch130021017.wns.windows.com
127.0.0.1 hk2sch130021029.wns.windows.com
127.0.0.1 hk2sch130021035.wns.windows.com
127.0.0.1 hk2sch130021137.wns.windows.com
127.0.0.1 hk2sch130021142.wns.windows.com
127.0.0.1 hk2sch130021153.wns.windows.com
127.0.0.1 hk2sch130021217.wns.windows.com
127.0.0.1 hk2sch130021246.wns.windows.com
127.0.0.1 hk2sch130021249.wns.windows.com
127.0.0.1 hk2sch130021260.wns.windows.com
127.0.0.1 hk2sch130021264.wns.windows.com
127.0.0.1 hk2sch130021322.wns.windows.com
127.0.0.1 hk2sch130021323.wns.windows.com
127.0.0.1 hk2sch130021329.wns.windows.com
127.0.0.1 hk2sch130021334.wns.windows.com
127.0.0.1 hk2sch130021360.wns.windows.com
127.0.0.1 hk2sch130021432.wns.windows.com
127.0.0.1 hk2sch130021433.wns.windows.com
127.0.0.1 hk2sch130021435.wns.windows.com
127.0.0.1 hk2sch130021437.wns.windows.com
127.0.0.1 hk2sch130021440.wns.windows.com
127.0.0.1 hk2sch130021450.wns.windows.com
127.0.0.1 hk2sch130021518.wns.windows.com
127.0.0.1 hk2sch130021523.wns.windows.com
127.0.0.1 hk2sch130021526.wns.windows.com
127.0.0.1 hk2sch130021527.wns.windows.com
127.0.0.1 hk2sch130021544.wns.windows.com
127.0.0.1 hk2sch130021554.wns.windows.com
127.0.0.1 hk2sch130021618.wns.windows.com
127.0.0.1 hk2sch130021634.wns.windows.com
127.0.0.1 hk2sch130021638.wns.windows.com
127.0.0.1 hk2sch130021646.wns.windows.com
127.0.0.1 hk2sch130021652.wns.windows.com
127.0.0.1 hk2sch130021654.wns.windows.com
127.0.0.1 hk2sch130021657.wns.windows.com
127.0.0.1 hk2sch130021723.wns.windows.com
127.0.0.1 hk2sch130021726.wns.windows.com
127.0.0.1 hk2sch130021727.wns.windows.com
127.0.0.1 hk2sch130021730.wns.windows.com
127.0.0.1 hk2sch130021731.wns.windows.com
127.0.0.1 hk2sch130021754.wns.windows.com
127.0.0.1 hk2sch130021829.wns.windows.com
127.0.0.1 hk2sch130021830.wns.windows.com
127.0.0.1 hk2sch130021833.wns.windows.com
127.0.0.1 hk2sch130021840.wns.windows.com
127.0.0.1 hk2sch130021842.wns.windows.com
127.0.0.1 hk2sch130021851.wns.windows.com
127.0.0.1 hk2sch130021852.wns.windows.com
127.0.0.1 hk2sch130021927.wns.windows.com
127.0.0.1 hk2sch130021928.wns.windows.com
127.0.0.1 hk2sch130021929.wns.windows.com
127.0.0.1 hk2sch130021958.wns.windows.com
127.0.0.1 hk2sch130022035.wns.windows.com
127.0.0.1 hk2sch130022041.wns.windows.com
127.0.0.1 hk2sch130022049.wns.windows.com
127.0.0.1 hk2sch130022135.wns.windows.com
